2022-10-26  14:21:50 - fundSpider.py[line:314] - INFO: 	司南锐进组合(第17期)区间收益信息爬取成功
2022-10-26  14:21:50 - fundSpider.py[line:324] - WARNING: 司南锐进组合(第17期)无持仓分布详细信息
2022-10-26  14:21:50 - fundSpider.py[line:378] - INFO: 	司南锐进组合(第17期)调仓历史信息爬取成功
2022-10-26  14:21:50 - fundSpider.py[line:400] - INFO: 	司南锐进组合(第17期)备选基金信息入库成功
2022-10-26  14:21:50 - fundSpider.py[line:420] - INFO: 	司南锐进组合(第17期)日收益信息入库成功

2022-10-26  14:21:51 - fundSpider.py[line:264] - INFO: 	司南多因子蓝筹指数组合基本信息爬取成功
2022-10-26  14:21:51 - fundSpider.py[line:314] - INFO: 	司南多因子蓝筹指数组合区间收益信息爬取成功
2022-10-26  14:21:51 - fundSpider.py[line:324] - WARNING: 司南多因子蓝筹指数组合无持仓分布详细信息
2022-10-26  14:21:51 - fundSpider.py[line:378] - INFO: 	司南多因子蓝筹指数组合调仓历史信息爬取成功
2022-10-26  14:21:51 - fundSpider.py[line:400] - INFO: 	司南多因子蓝筹指数组合备选基金信息入库成功
2022-10-26  14:21:51 - fundSpider.py[line:420] - INFO: 	司南多因子蓝筹指数组合日收益信息入库成功

2022-10-26  14:21:51 - fundSpider.py[line:264] - INFO: 	司南股债灵活蓝筹组合基本信息爬取成功
2022-10-26  14:21:51 - fundSpider.py[line:314] - INFO: 	司南股债灵活蓝筹组合区间收益信息爬取成功
2022-10-26  14:21:51 - fundSpider.py[line:324] - WARNING: 司南股债灵活蓝筹组合无持仓分布详细信息
2022-10-26  14:21:51 - fundSpider.py[line:378] - INFO: 	司南股债灵活蓝筹组合调仓历史信息爬取成功
2022-10-26  14:21:51 - fundSpider.py[line:400] - INFO: 	司南股债灵活蓝筹组合备选基金信息入库成功
2022-10-26  14:21:52 - fundSpider.py[line:420] - INFO: 	司南股债灵活蓝筹组合日收益信息入库成功

2022-10-26  14:21:52 - fundSpider.py[line:264] - INFO: 	司南多因子成长指数组合基本信息爬取成功
2022-10-26  14:21:52 - fundSpider.py[line:314] - INFO: 	司南多因子成长指数组合区间收益信息爬取成功
2022-10-26  14:21:52 - fundSpider.py[line:324] - WARNING: 司南多因子成长指数组合无持仓分布详细信息
2022-10-26  14:21:52 - fundSpider.py[line:378] - INFO: 	司南多因子成长指数组合调仓历史信息爬取成功
2022-10-26  14:21:52 - fundSpider.py[line:400] - INFO: 	司南多因子成长指数组合备选基金信息入库成功
2022-10-26  14:21:52 - fundSpider.py[line:420] - INFO: 	司南多因子成长指数组合日收益信息入库成功

2022-10-26  14:21:52 - fundSpider.py[line:264] - INFO: 	司南股债积极组合基本信息爬取成功
2022-10-26  14:21:52 - fundSpider.py[line:314] - INFO: 	司南股债积极组合区间收益信息爬取成功
2022-10-26  14:21:52 - fundSpider.py[line:324] - WARNING: 司南股债积极组合无持仓分布详细信息
2022-10-26  14:21:52 - fundSpider.py[line:378] - INFO: 	司南股债积极组合调仓历史信息爬取成功
2022-10-26  14:21:52 - fundSpider.py[line:400] - INFO: 	司南股债积极组合备选基金信息入库成功
2022-10-26  14:21:53 - fundSpider.py[line:420] - INFO: 	司南股债积极组合日收益信息入库成功

2022-10-26  14:21:53 - fundSpider.py[line:106] - INFO: 开始爬取国泰基金的投顾策略...
2022-10-26  14:21:53 - fundSpider.py[line:113] - INFO: 爬取国泰基金旗下共计4条投顾策略...
2022-10-26  14:21:53 - fundSpider.py[line:264] - INFO: 	国泰闲钱稳步走基本信息爬取成功
2022-10-26  14:21:53 - fundSpider.py[line:314] - INFO: 	国泰闲钱稳步走区间收益信息爬取成功
2022-10-26  14:21:53 - fundSpider.py[line:345] - INFO: 	国泰闲钱稳步走持仓分布信息爬取成功
2022-10-26  14:21:53 - fundSpider.py[line:378] - INFO: 	国泰闲钱稳步走调仓历史信息爬取成功
2022-10-26  14:21:53 - fundSpider.py[line:400] - INFO: 	国泰闲钱稳步走备选基金信息入库成功
2022-10-26  14:21:53 - fundSpider.py[line:420] - INFO: 	国泰闲钱稳步走日收益信息入库成功

2022-10-26  14:21:54 - fundSpider.py[line:264] - INFO: 	国泰进取群星荟基本信息爬取成功
2022-10-26  14:21:54 - fundSpider.py[line:314] - INFO: 	国泰进取群星荟区间收益信息爬取成功
2022-10-26  14:21:54 - fundSpider.py[line:345] - INFO: 	国泰进取群星荟持仓分布信息爬取成功
2022-10-26  14:21:54 - fundSpider.py[line:378] - INFO: 	国泰进取群星荟调仓历史信息爬取成功
2022-10-26  14:21:54 - fundSpider.py[line:400] - INFO: 	国泰进取群星荟备选基金信息入库成功
2022-10-26  14:21:54 - fundSpider.py[line:420] - INFO: 	国泰进取群星荟日收益信息入库成功

2022-10-26  14:21:54 - fundSpider.py[line:264] - INFO: 	国泰平衡更甜蜜基本信息爬取成功
2022-10-26  14:21:54 - fundSpider.py[line:314] - INFO: 	国泰平衡更甜蜜区间收益信息爬取成功
2022-10-26  14:21:54 - fundSpider.py[line:345] - INFO: 	国泰平衡更甜蜜持仓分布信息爬取成功
2022-10-26  14:21:54 - fundSpider.py[line:378] - INFO: 	国泰平衡更甜蜜调仓历史信息爬取成功
2022-10-26  14:21:54 - fundSpider.py[line:400] - INFO: 	国泰平衡更甜蜜备选基金信息入库成功
2022-10-26  14:21:54 - fundSpider.py[line:420] - INFO: 	国泰平衡更甜蜜日收益信息入库成功

2022-10-26  14:21:55 - fundSpider.py[line:264] - INFO: 	国泰货币佳基本信息爬取成功
2022-10-26  14:21:55 - fundSpider.py[line:314] - INFO: 	国泰货币佳区间收益信息爬取成功
2022-10-26  14:21:55 - fundSpider.py[line:345] - INFO: 	国泰货币佳持仓分布信息爬取成功
2022-10-26  14:21:55 - fundSpider.py[line:378] - INFO: 	国泰货币佳调仓历史信息爬取成功
2022-10-26  14:21:55 - fundSpider.py[line:400] - INFO: 	国泰货币佳备选基金信息入库成功
2022-10-26  14:21:55 - fundSpider.py[line:420] - INFO: 	国泰货币佳日收益信息入库成功

2022-10-26  14:21:55 - fundSpider.py[line:106] - INFO: 开始爬取华夏财富的投顾策略...
2022-10-26  14:21:55 - fundSpider.py[line:113] - INFO: 爬取华夏财富旗下共计18条投顾策略...
2022-10-26  14:21:55 - fundSpider.py[line:264] - INFO: 	华夏70后智赢人生组合基本信息爬取成功
2022-10-26  14:21:55 - fundSpider.py[line:314] - INFO: 	华夏70后智赢人生组合区间收益信息爬取成功
2022-10-26  14:21:55 - fundSpider.py[line:345] - INFO: 	华夏70后智赢人生组合持仓分布信息爬取成功
2022-10-26  14:21:55 - fundSpider.py[line:378] - INFO: 	华夏70后智赢人生组合调仓历史信息爬取成功
2022-10-26  14:21:55 - fundSpider.py[line:400] - INFO: 	华夏70后智赢人生组合备选基金信息入库成功
2022-10-26  14:21:55 - fundSpider.py[line:420] - INFO: 	华夏70后智赢人生组合日收益信息入库成功

2022-10-26  14:21:56 - fundSpider.py[line:264] - INFO: 	华夏货币优享组合基本信息爬取成功
2022-10-26  14:21:56 - fundSpider.py[line:314] - INFO: 	华夏货币优享组合区间收益信息爬取成功
2022-10-26  14:21:56 - fundSpider.py[line:345] - INFO: 	华夏货币优享组合持仓分布信息爬取成功
2022-10-26  14:21:56 - fundSpider.py[line:378] - INFO: 	华夏货币优享组合调仓历史信息爬取成功
2022-10-26  14:21:56 - fundSpider.py[line:400] - INFO: 	华夏货币优享组合备选基金信息入库成功
2022-10-26  14:21:56 - fundSpider.py[line:420] - INFO: 	华夏货币优享组合日收益信息入库成功

2022-10-26  14:21:57 - fundSpider.py[line:264] - INFO: 	华夏固收增强组合基本信息爬取成功
2022-10-26  14:21:57 - fundSpider.py[line:314] - INFO: 	华夏固收增强组合区间收益信息爬取成功
2022-10-26  14:21:57 - fundSpider.py[line:345] - INFO: 	华夏固收增强组合持仓分布信息爬取成功
2022-10-26  14:21:57 - fundSpider.py[line:378] - INFO: 	华夏固收增强组合调仓历史信息爬取成功
2022-10-26  14:21:57 - fundSpider.py[line:400] - INFO: 	华夏固收增强组合备选基金信息入库成功
2022-10-26  14:21:57 - fundSpider.py[line:420] - INFO: 	华夏固收增强组合日收益信息入库成功

2022-10-26  14:21:59 - fundSpider.py[line:264] - INFO: 	华夏国内培优教育金组合基本信息爬取成功
2022-10-26  14:21:59 - fundSpider.py[line:314] - INFO: 	华夏国内培优教育金组合区间收益信息爬取成功
2022-10-26  14:21:59 - fundSpider.py[line:345] - INFO: 	华夏国内培优教育金组合持仓分布信息爬取成功
2022-10-26  14:21:59 - fundSpider.py[line:378] - INFO: 	华夏国内培优教育金组合调仓历史信息爬取成功
2022-10-26  14:21:59 - fundSpider.py[line:400] - INFO: 	华夏国内培优教育金组合备选基金信息入库成功
2022-10-26  14:21:59 - fundSpider.py[line:420] - INFO: 	华夏国内培优教育金组合日收益信息入库成功

2022-10-26  14:22:00 - fundSpider.py[line:264] - INFO: 	华夏帮你选新科技基本信息爬取成功
2022-10-26  14:22:00 - fundSpider.py[line:314] - INFO: 	华夏帮你选新科技区间收益信息爬取成功
2022-10-26  14:22:00 - fundSpider.py[line:345] - INFO: 	华夏帮你选新科技持仓分布信息爬取成功
2022-10-26  14:22:00 - fundSpider.py[line:378] - INFO: 	华夏帮你选新科技调仓历史信息爬取成功
2022-10-26  14:22:00 - fundSpider.py[line:400] - INFO: 	华夏帮你选新科技备选基金信息入库成功
